review,label,processed_review
This product is great and works well!,0,product great works well
"Worst purchase ever, complete scam.",1,worst purchase ever complete scam
I'm very satisfied with the quality.,0,m very satisfied quality
This is fake and misleading.,1,fake misleading
"Absolutely love it, highly recommended!",0,absolutely love highly recommended
"Total waste of money, not as described.",1,total waste money described
Exceeded my expectations in every way.,0,exceeded my expectations every way
"Don't buy this, it's a fraud.",1,don t buy s fraud
Reliable and good value for the price.,0,reliable good value price
"Fake reviews, fake product.",1,fake reviews fake product
"High quality and fast delivery, very satisfied.",0,
"Totally fake, this is a scam.",1,
Exceptional quality and excellent customer service.,0,
"Does not work at all, complete waste of money.",1,
"Absolutely love it, would buy again.",0,
"Fake reviews everywhere, don’t trust this.",1,
"Reliable and sturdy, worth every penny.",0,
"Definitely a knock-off, very disappointed.",1,
"Reliable and sturdy, worth every penny.",0,
"Totally fake, this is a scam.",1,
"Absolutely love it, would buy again.",0,
"Definitely a knock-off, very disappointed.",1,
"Reliable and sturdy, worth every penny.",0,
"Totally fake, this is a scam.",1,
Exceptional quality and excellent customer service.,0,
All 5-star reviews are fake.,1,
My favorite purchase this year!,0,
All 5-star reviews are fake.,1,
"Exactly what I was looking for, thanks!",0,
False advertisement and poor packaging.,1,
"Reliable and sturdy, worth every penny.",0,
All 5-star reviews are fake.,1,
This product exceeded my expectations!,0,
Item looks cheap and broken.,1,
"Absolutely love it, would buy again.",0,
Item looks cheap and broken.,1,
This product exceeded my expectations!,0,
Item looks cheap and broken.,1,
This product exceeded my expectations!,0,
All 5-star reviews are fake.,1,
"Great value for the price, highly recommend.",0,
"Totally fake, this is a scam.",1,
"High quality and fast delivery, very satisfied.",0,
"Definitely a knock-off, very disappointed.",1,
"Reliable and sturdy, worth every penny.",0,
All 5-star reviews are fake.,1,
"Works perfectly, no issues at all.",0,
"Totally fake, this is a scam.",1,
"High quality and fast delivery, very satisfied.",0,
Item looks cheap and broken.,1,
Very comfortable and well-designed.,0,
All 5-star reviews are fake.,1,
Very comfortable and well-designed.,0,
"Product is not as described, very misleading.",1,
Exceptional quality and excellent customer service.,0,
"Does not work at all, complete waste of money.",1,
"High quality and fast delivery, very satisfied.",0,
"Terrible quality, smells bad too.",1,
"High quality and fast delivery, very satisfied.",0,
"Product is not as described, very misleading.",1,
My favorite purchase this year!,0,
"Fake reviews everywhere, don’t trust this.",1,
"High quality and fast delivery, very satisfied.",0,
"Definitely a knock-off, very disappointed.",1,
This product exceeded my expectations!,0,
"Fake reviews everywhere, don’t trust this.",1,
"Reliable and sturdy, worth every penny.",0,
Worst item I've ever bought.,1,
"Great value for the price, highly recommend.",0,
Worst item I've ever bought.,1,
Exceptional quality and excellent customer service.,0,
"Totally fake, this is a scam.",1,
This product exceeded my expectations!,0,
Worst item I've ever bought.,1,
Very comfortable and well-designed.,0,
"Fake reviews everywhere, don’t trust this.",1,
"Works perfectly, no issues at all.",0,
All 5-star reviews are fake.,1,
Very comfortable and well-designed.,0,
False advertisement and poor packaging.,1,
"Works perfectly, no issues at all.",0,
"Terrible quality, smells bad too.",1,
"Reliable and sturdy, worth every penny.",0,
"Totally fake, this is a scam.",1,
"Reliable and sturdy, worth every penny.",0,
All 5-star reviews are fake.,1,
My favorite purchase this year!,0,
All 5-star reviews are fake.,1,
Very comfortable and well-designed.,0,
All 5-star reviews are fake.,1,
Very comfortable and well-designed.,0,
"Definitely a knock-off, very disappointed.",1,
"Absolutely love it, would buy again.",0,
"Does not work at all, complete waste of money.",1,
"Reliable and sturdy, worth every penny.",0,
Worst item I've ever bought.,1,
"Works perfectly, no issues at all.",0,
"Does not work at all, complete waste of money.",1,
"High quality and fast delivery, very satisfied.",0,
Worst item I've ever bought.,1,
This product exceeded my expectations!,0,
"Fake reviews everywhere, don’t trust this.",1,
"Great value for the price, highly recommend.",0,
Item looks cheap and broken.,1,
